#,Zeit,Dienst,Flags ,Prio,Quelladresse,Quelle,Zieladresse,Ziel,Rout,Typ,DPT,Info
60,2010-11-04 22:16:39.468,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=8),,"Count=3, Address=0113, Data=00 00 00"
61,2010-11-04 22:16:39.493,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=8),,
62,2010-11-04 22:16:39.520,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=14),,"Count=12, Address=0119"
63,2010-11-04 22:16:39.536,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=14),,
64,2010-11-04 22:16:39.576,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=9),,"Count=12, Address=0119, Data=00 01 00 02 00 03 00 04 00 05 00 06"
65,2010-11-04 22:16:39.601,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=9),,
66,2010-11-04 22:16:39.621,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=15),,"Count=12, Address=0125"
67,2010-11-04 22:16:39.637,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=15),,
68,2010-11-04 22:16:39.682,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=10),,"Count=12, Address=0125, Data=00 07 00 08 14 01 00 02 01 03 02 04"
69,2010-11-04 22:16:39.698,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=10),,
70,2010-11-04 22:16:39.721,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=0),,"Count=12, Address=0131"
71,2010-11-04 22:16:39.742,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=0),,
72,2010-11-04 22:16:39.777,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=11),,"Count=12, Address=0131, Data=03 05 04 06 05 07 06 08 07 FE 08 FE"
73,2010-11-04 22:16:39.798,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=11),,
74,2010-11-04 22:16:39.821,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=1),,"Count=12, Address=013D"
75,2010-11-04 22:16:39.837,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=1),,
76,2010-11-04 22:16:39.877,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=12),,"Count=12, Address=013D, Data=09 FE 0A FE 0B FE 0C FE 0D FE 0E FE"
77,2010-11-04 22:16:39.898,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=12),,
78,2010-11-04 22:16:39.921,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=2),,"Count=9, Address=0149"
79,2010-11-04 22:16:39.937,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=2),,
80,2010-11-04 22:16:39.980,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=13),,"Count=9, Address=0149, Data=0F FE 10 FE 11 FE 12 FE 13"
81,2010-11-04 22:16:39.998,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=13),,
82,2010-11-04 22:16:40.021,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=3),,"Count=12, Address=019A"
83,2010-11-04 22:16:40.037,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=3),,
84,2010-11-04 22:16:40.076,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=14),,"Count=12, Address=019A, Data=14 D6 54 97 00 55 97 00 56 97 00 57"
85,2010-11-04 22:16:40.097,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=14),,
86,2010-11-04 22:16:40.124,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=4),,"Count=12, Address=01A6"
87,2010-11-04 22:16:40.141,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=4),,
88,2010-11-04 22:16:40.181,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=15),,"Count=12, Address=01A6, Data=97 00 58 97 00 59 97 00 5A 97 00 5B"
89,2010-11-04 22:16:40.201,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=15),,
90,2010-11-04 22:16:40.224,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=5),,"Count=12, Address=01B2"
91,2010-11-04 22:16:40.241,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=5),,
92,2010-11-04 22:16:40.280,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=0),,"Count=12, Address=01B2, Data=97 00 5C 93 01 5D 93 01 5E 93 01 5F"
93,2010-11-04 22:16:40.304,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=0),,
94,2010-11-04 22:16:40.325,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=6),,"Count=12, Address=01BE"
95,2010-11-04 22:16:40.341,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=6),,
96,2010-11-04 22:16:40.380,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=1),,"Count=12, Address=01BE, Data=93 01 60 C3 00 61 C3 00 62 C3 00 63"
